TimeReceived,Type,LogCode,Description,Device,ParentDevice,Address,PersonnelRecord,Credential,Data_,Location 
6/22/2015 07:30:43,Event,GW.SX.CTLR.UNK,Gateway Controller: Unknown,"gw_Nezavisimosty,177_8 ????_GW3",Access GW Driver,/EPAM/pgw_FOC1751N3VJ,,,,"?????/EPAM/?????????????,177/8 ????" 
6/22/2015 07:30:43,Event,GW.SX.DOOR.UNK,Door: Unknown,H177_803_Work_in,Logical Driver,/EPAM/pgw_FOC1751N3VJ/Door/door00,,,,"?????/EPAM/?????????????,177/8 ????" 
6/22/2015 07:30:43,Event,GW.SX.DOOR.UNK,Door: Unknown,H177_803_Security_out,Logical Driver,/EPAM/pgw_FOC1751N3VJ/Door/door03,,,,"?????/EPAM/?????????????,177/8 ????" 
6/22/2015 07:30:43,Event,GW.SX.DOOR.UNK,Door: Unknown,H177_803_Security_in,Logical Driver,/EPAM/pgw_FOC1751N3VJ/Door/door02,,,,"?????/EPAM/?????????????,177/8 ????" 
6/22/2015 07:30:43,Event,GW.SX.DOOR.UNK,Door: Unknown,H177_803_High_security_in,Logical Driver,/EPAM/pgw_FOC1751N3VJ/Door/door04,,,,"?????/EPAM/?????????????,177/8 ????" 
6/22/2015 07:30:43,Event,GW.SX.DOOR.UNK,Door: Unknown,H177_803_Work_out,Logical Driver,/EPAM/pgw_FOC1751N3VJ/Door/door01,,,,"?????/EPAM/?????????????,177/8 ????" 
6/22/2015 07:31:54,Event,GW.SX.CTLR.UP,Gateway Controller: Up,"gw_Nezavisimosty,177_8 ????_GW3",Access GW Driver,/EPAM/pgw_FOC1751N3VJ,,,,"?????/EPAM/?????????????,177/8 ????" 
6/22/2015 07:31:54,Event,GW.SX.DOOR.UP,Door: Up,H177_803_Work_in,Logical Driver,/EPAM/pgw_FOC1751N3VJ/Door/door00,,,,"?????/EPAM/?????????????,177/8 ????" 
6/22/2015 07:31:54,Event,GW.SX.DOOR.UP,Door: Up,H177_803_Security_out,Logical Driver,/EPAM/pgw_FOC1751N3VJ/Door/door03,,,,"?????/EPAM/?????????????,177/8 ????" 
6/22/2015 07:31:54,Event,GW.SX.DOOR.UP,Door: Up,H177_803_Security_in,Logical Driver,/EPAM/pgw_FOC1751N3VJ/Door/door02,,,,"?????/EPAM/?????????????,177/8 ????" 
6/22/2015 07:31:54,Event,GW.SX.DOOR.UP,Door: Up,H177_803_High_security_in,Logical Driver,/EPAM/pgw_FOC1751N3VJ/Door/door04,,,,"?????/EPAM/?????????????,177/8 ????" 
6/22/2015 07:31:54,Event,GW.SX.DOOR.UP,Door: Up,H177_803_Work_out,Logical Driver,/EPAM/pgw_FOC1751N3VJ/Door/door01,,,,"?????/EPAM/?????????????,177/8 ????" 
6/22/2015 07:32:01,Event,GW.SX.CTLR.UNK,Gateway Controller: Unknown,"gw_Nezavisimosty,177_8 ????_GW3",Access GW Driver,/EPAM/pgw_FOC1751N3VJ,,,,"?????/EPAM/?????????????,177/8 ????" 
6/22/2015 07:32:01,Event,GW.SX.DOOR.UNK,Door: Unknown,H177_803_Work_in,Logical Driver,/EPAM/pgw_FOC1751N3VJ/Door/door00,,,,"?????/EPAM/?????????????,177/8 ????" 
6/22/2015 07:32:01,Event,GW.SX.DOOR.UNK,Door: Unknown,H177_803_Security_out,Logical Driver,/EPAM/pgw_FOC1751N3VJ/Door/door03,,,,"?????/EPAM/?????????????,177/8 ????" 
6/22/2015 07:32:01,Event,GW.SX.DOOR.UNK,Door: Unknown,H177_803_Security_in,Logical Driver,/EPAM/pgw_FOC1751N3VJ/Door/door02,,,,"?????/EPAM/?????????????,177/8 ????" 
6/22/2015 07:32:01,Event,GW.SX.DOOR.UNK,Door: Unknown,H177_803_High_security_in,Logical Driver,/EPAM/pgw_FOC1751N3VJ/Door/door04,,,,"?????/EPAM/?????????????,177/8 ????" 
6/22/2015 07:32:01,Event,GW.SX.DOOR.UNK,Door: Unknown,H177_803_Work_out,Logical Driver,/EPAM/pgw_FOC1751N3VJ/Door/door01,,,,"?????/EPAM/?????????????,177/8 ????" 
